Semiconductor,Crystal structure,Type,Density,
"a-Sn","Diamond","IV-IV","5765",
"AgBr","Sphalerite","I-VII","6473",
"AgI","Sphalerite","I-VII","5670",
"Al2S3","Wurtzite","III2-VI3","2550",
"Al2Se3","Wurtzite","III2-VI3","3910",
"AlAs","Sphalerite","III-V","3810",
"AlN","Wurtzite","III-V","3260",
"AlP","Sphalerite","III-V","2420",
"AlSb","Sphalerite","III-V","4218",
"BeS","Sphalerite","II-VI","2360",
"BeSe","Sphalerite","II-VI","4315",
"BeTe","Sphalerite","II-VI","5090",
"BN","Sphalerite","III-V","3490",
"BP","Sphalerite","III-V","2970",
"C","Diamond","IV-IV","3510",
"CdS","Sphalerite","II-VI","4838",
"CdS","Wurtzite","II-VI","4820",
"CdSe","Sphalerite","II-VI","5740",
"CdSe","Wurtzite","II-VI","5660",
"CdTe","Sphalerite","II-VI","5867",
"CuBr","Sphalerite","I-VII","4980",
"CuCl","Sphalerite","I-VII","3530",
"Cul","Sphalerite","I-VII","5630",
"Ga2Te3","Sphalerite","III2-VI3","5750",
"GaAs","Sphalerite","III-V","5318",
"GaN","Wurtzite","III-V","6100",
"GaP","Sphalerite","III-V","4131",
"GaSb","Sphalerite","III-V","5619",
"Ge","Diamond","IV-IV","5324",
"HgS","Sphalerite","II-VI","7730",
"HgSe","Sphalerite","II-VI","8250",
"HgTe","Sphalerite","II-VI","8170",
"In2Te3","Sphalerite","III-V","5800",
"InAs","Sphalerite","III-V","5667",
"InN","Wurtzite","III-V","6880",
"InP","Sphalerite","III-V","4791",
"InSb","Sphalerite","III-V","5778",
"Mg2Ge","Antifluorite","II2-IV","3099",
"Mg2Si","Antifluorite","II2-IV","2000",
"Mg2Sn","Antifluorite","II2-IV","3530",
"MnTe","Wurtzite","II-VI","6701",
"PbS","Halite","II-VI","7597",
"PbSe","Halite","II-VI","8275",
"PbTe","Halite","II-VI","8272",
"Si","Diamond","IV-IV","2328",
"SiC","Sphalerite","IV-IV","3210",
"Te","y-Se","VI-VI","6237",
"ZnO","Wurtzite","II-VI","5660",
"ZnO","Sphalerite","II-VI","5675",
"ZnS","Sphalerite","II-VI","4090",
"ZnS","Wurtzite","II-VI","4100",
"ZnSe","Sphalerite","II-VI","5266",
"ZnSnAs2","Sphalerite","II-IV-III2","5530",
"ZnTe","Sphalerite","II-VI","5645",
