Gas,Solubility (mg/L),
Acetylene,1200,
Ammonia,4.82 ×105,
Argon,62,
Arsine,280,
Butadiene,735,
Butane,61,
Carbon dioxide,3369,
Carbon monoxide,27.6,
Carbonyl sulfide,1250,
Chlorine,6300,
Chloroethane,5740,
Chloromethane,5325,
Cyanogen,8.182 ×105,
Cyclopropane,539,
Dichlorodifluoromethane,286,
Dimethylamine,1540,
Dimethyl ether,6.8 ×104,
Ethane,58,
Ethylene,131,
Helium,2.5,
Hydrogen bromide,1.93 ×106,
Hydrogen chloride,7.2 ×105,
Hydrogen sulfide,3980,
Isobutane,48.9,
Isobutylene,263,
Methane,23.2,
Nitric oxide,56,
Nitrogen trifluoride,210,
Nitrous oxide,1500,
Propane,77,
Propylene,318,
Tetrafluoromethane,20.4,
Trichlorofluoromethane,1100,
