Semiconductor,Crystal structure,Type,Conductivity,
"AgI","Sphalerite","I-VII","4.2",
"AlAs","Sphalerite","III-V","84",
"AlP","Sphalerite","III-V","92",
"AlSb","Sphalerite","III-V","60",
"BN","Sphalerite","III-V","20",
"C","Diamond","IV-IV","990",
"CdS","Sphalerite","II-VI","20",
"CdSe","Sphalerite","II-VI","9",
"CdSe","Wurtzite","II-VI","31.6",
"CdTe","Sphalerite","II-VI","5.85",
"CuBr","Sphalerite","I-VII","12.5",
"CuCl","Sphalerite","I-VII","0.84",
"Cul","Sphalerite","I-VII","1.68",
"Ga2Te3","Sphalerite","III2-VI3","4.7",
"GaAs","Sphalerite","III-V","56",
"GaN","Wurtzite","III-V","65.6",
"GaP","Sphalerite","III-V","75.2",
"GaSb","Sphalerite","III-V","27",
"Ge","Diamond","IV-IV","64",
"HgSe","Sphalerite","II-VI","1",
"HgTe","Sphalerite","II-VI","2",
"In2Te3","Sphalerite","III-V","6.9",
"InAs","Sphalerite","III-V","29",
"InP","Sphalerite","III-V","80",
"InSb","Sphalerite","III-V","16",
"Si","Diamond","IV-IV","124",
"Te","y-Se","VI-VI","5.98",
"ZnO","Sphalerite","II-VI","23.4",
"ZnS","Sphalerite","II-VI","25.1",
"ZnSe","Sphalerite","II-VI","14",
"ZnSnAs2","Sphalerite","II-IV-III2","7.6",
"ZnTe","Sphalerite","II-VI","10.8",
